Código,Nome da Sociedade,Data,Data_original,Endereço,Licença,Estatuto,Notação-GIFI,Tipo de licença,Obs,Presidente,Licença anterior,Nomes/Sujeitos,Doc policial,Tipo_licenca_categoria,Tipo_licenca_componentes
170,grupo carnavalesco lira do encantado,1906-02-12,12/02/1906,"rua sá, 33",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
171,grupo carnavalesco estrela dos navegantes,1906-02-17,17/02/1906,"rua pernambuco, 46 A",1,0,6c170,funcionar durante o ano,,,0,0,0,licenca_anual,licenca_anual
172,sociedade carnavalesca rainha do mar,1906-02-06,06/02/1906,"rua de santo amaro, 44",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
173,grupo carnavalesco castelo de ouro da cidade nova,1906-02-17,17/02/1906,"rua presidente barroso, 83",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
174,grêmio carnavalesco estrela dos dois diamantes,1906-02-06,06/02/1906,"retiro de santo amaro, 13",1,0,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
175,grupo carnavalesco triunfo dos dois diamantes,1906-02-12,12/02/1906,"rua pedro domingos, 24, piedade",1,0,6c170,licença para ensaiar diariamente até o carnaval,,,0,0,0,desfile_ensaio,desfile_carnavalesco|ensaio
176,estudantina furtado coelho,1906-02-03,03/02/1906,"visconde sapucaí, 103",1,0,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
177,congresso  carnavalesco dos pirilampos,1906-02-02,02/02/1906,"rua senhor dos passos, 84",0,0,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
178,grêmio carnavalesco maçãs de ouro,1906-02-15,15/02/1906,"rua dos cajueiros, 46",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
179,sociedade carnavalesca rainha de ouro,1906-02-12,12/02/1906,"rua do senador pompeu, 143",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
180,sociedade carnavalesca dançante papoula do japão,1906-02-09,09/02/1906,"rua da américa, 130",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
